WaterLeft,SPAD,Size,3rd_temp,class
197.2933516,45.6,12912,2735.860064,1
198.012672,45.6,15497,2845.174748,1
193.8238583,46.51428571,16049,2779.320071,1
193.2248277,47.42857143,19217,2777.740499,1
190.0737977,48.34285714,22846,2763.350325,1
193.7936839,49.25714286,15877,2714.480712,1
190.3718578,50.17142857,16627,2799.514776,1
193.6458736,51.08571429,13779,2844.147346,1
188.2592124,52,13413,2852.058644,1
188.2993099,51.46666667,13264,2752.961149,1
183.6450829,50.93333333,21223,2848.129153,1
191.2361204,50.4,19696,2822.030566,1
190.8267549,49.86666667,13398,2754.602309,1
183.252066,49.33333333,20543,2791.023482,1
187.161272,48.8,17541,2799,1
185.1320385,47.23333333,21962,2814.602694,1
191.9962043,45.66666667,16809,2830.205388,1
186.9347102,44.1,22753,2888.737444,1
192.7794092,42.53333333,11004,2834.647549,1
187.4691441,40.96666667,17563,2829.321029,1
193.5815367,39.4,17154,2911.874948,1
185.1959498,41.98333333,16883,2798.374893,1
190.8072502,44.56666667,16311,2823.320132,1
192.7198872,47.15,23344,2803.192806,1
188.693545,49.73333333,21111,2775.583164,1
192.9654986,52.31666667,15755,2823.963896,1
187.6332619,54.9,20158,2847.94106,1
181.0273793,54.9,21944,2760.372017,1
191.8482846,54.9,25598,2779.211167,1
189.7247409,54.9,15863,2809.016272,1
147.109253,47.2,18667,3148.947602,1
146.4083889,47.2,13211,3208.980044,1
148.4167968,48.71428571,16808,3245.377103,1
144.9976203,50.22857143,13431,2900.142934,1
148.9090294,51.74285714,18876,2754.200711,1
146.186766,53.25714286,15454,2785.947553,1
149.8089209,54.77142857,14524,2828.266388,1
145.5009164,56.28571429,13162,2873.46731,1
148.3582222,57.8,17425,2768.449314,1
149.7277575,56.81666667,18461,2787.902291,1
149.3879217,55.83333333,13996,2791.289673,1
151.8491061,54.85,25636,2847.510785,1
150.4249492,53.86666667,18744,2795.810821,1
146.2675151,52.88333333,17611,2744.486156,1
151.0530541,51.9,13530,2882.474476,1
146.7720152,51.63333333,12377,2805.776599,1
150.3992432,51.36666667,20220,2764.212057,1
145.2229709,51.1,19892,2787.571864,1
150.6957091,50.83333333,19575,2755.758024,1
152.4730933,50.56666667,15073,2793.603485,1
144.4397909,50.3,13618,2756.806582,1
147.1566841,50.41666667,24370,2796.826653,1
147.277192,50.53333333,15342,2805.73873,1
152.5775396,50.65,27584,2821.587502,1
147.3315259,50.76666667,19843,2992.742092,1
145.2713049,50.88333333,18461,2824.743818,1
150.3728807,51,18869,2809.208546,1
149.9972401,51,18544,3220.419996,1
148.4398579,51,12214,2845.624888,1
150.6028472,51,18677,2736.193384,1
99.11502785,42.3,21447,2732.614026,1
97.61371396,42.3,14878,2768.180115,1
102.8414222,44.07142857,16569,2800.070104,1
101.1559734,45.84285714,13141,2798.055787,1
100.4831886,47.61428571,23700,2760.850685,1
95.75281235,49.38571429,17757,2810.420699,1
94.23076083,51.15714286,17243,2826.926626,1
96.92911228,52.92857143,18945,2794.193763,1
86.35129796,54.7,24991,2797.973794,1
101.909127,54.2,15575,2775.552903,1
100.3635325,53.7,20583,2809.017138,1
99.32899433,53.2,23155,2739.191689,1
101.7599945,52.7,22511,2706.939081,1
101.6388824,52.2,23948,2701.761533,1
104.2948311,51.7,12410,2737.575758,1
105.5120941,52.03333333,17619,2732.717453,1
105.260084,52.36666667,17525,2696.807523,1
102.2933285,52.7,23055,2657.471198,1
105.4425775,53.03333333,21004,2753.488653,1
92.38667513,53.36666667,20471,2718.820038,1
99.03846331,53.7,15989,2762.960863,1
105.4449475,52.78333333,13955,2762.118496,1
102.3038824,51.86666667,22861,2725.047619,1
105.852998,50.95,16737,2733.341204,1
101.4896821,50.03333333,15326,2690.876919,1
107.8796529,49.11666667,16940,2806.302507,1
101.6300085,48.2,11527,2803.830648,1
100.2653714,48.2,18871,2776.86852,1
108.9662221,48.2,17463,2723.891069,1
101.2545561,48.2,24833,2718.32514,1
65.96442631,47.5,17238,2980.401236,1
68.41140074,47.5,16504,2972.285778,1
65.61436782,48.15714286,21830,2892.735961,1
64.55155157,48.81428571,16622,2876.455967,1
74.59809335,49.47142857,18950,2927.846168,1
73.52280222,50.12857143,19700,2868.9649,1
67.06958336,50.78571429,25869,2882.465449,1
71.22920495,51.44285714,30071,2882.058053,1
68.96239683,52.1,19019,2922.15812,1
63.87527576,52.88333333,23782,2871.564409,1
71.35070386,53.66666667,15336,2866.885111,1
68.20625785,54.45,15756,2841.519531,1
69.01421544,55.23333333,19760,2805.997498,1
70.54135778,56.01666667,20668,2851.051502,1
67.95796047,56.8,19313,2818.40445,1
68.95765181,55.9,16053,2807.826906,1
71.92214685,55,21861,2785.978254,1
71.72951758,54.1,13874,2814.144497,1
64.0725663,53.2,19294,2780.731828,1
71.55891146,52.3,19717,2781.594033,1
67.10386227,51.4,16646,2726.678781,1
73.7130936,50.9,16292,2721.927902,1
70.01343207,50.4,19788,2763.95552,1
69.96538748,49.9,14122,2808.231657,1
70.42469699,49.4,18963,2808.582295,1
73.76240749,48.9,11803,2795.354438,1
74.33989838,48.4,18194,2806.913773,1
71.67178516,48.4,19724,2784.069708,1
70.55131039,48.4,22789,2735.088691,1
74.77112769,48.4,14690,2763.378114,1
170,55.2,16331,2859.285044,1
170,55.2,21484,2752.164789,1
170,55.41428571,18440,2823.612361,1
170,55.62857143,22540,2712.243363,1
170,55.84285714,24878,2714.572578,1
170,56.05714286,19210,2739.25894,1
170,56.27142857,16791,2783.218879,1
170,56.48571429,17622,2779.359346,1
170,56.7,18899,2755.579561,1
170,56.33333333,19493,2791.203281,1
170,55.96666667,25978,2773.927929,1
170,55.6,30265,2815.152241,1
170,55.23333333,18345,2773.487767,1
170,54.86666667,20348,2972.871918,1
170,54.5,19954,2774.375981,1
170,54.73333333,26468,2819.081777,1
170,54.96666667,17295,2769.906536,1
170,55.2,25309,2851.66525,1
170,55.43333333,12916,2797.305416,1
170,55.66666667,15885,2796.270308,1
170,55.9,21885,2807.266274,1
170,56.71666667,17825,2750.393777,1
170,57.53333333,20517,2794.437564,1
170,58.35,25926,2765.902006,1
170,59.16666667,22700,2763.951666,1
170,59.98333333,18686,2818.698929,1
170,60.8,22648,2843.187254,1
170,60.8,23887,2722.053795,1
170,60.8,30616,2753.059473,1
170,60.8,21100,2761.01193,1
155,53.6,22075,2976.296855,1
155,53.6,16979,3005.737412,1
155,55.05714286,21227,3074.989458,1
155,56.51428571,15445,2802.237828,1
155,57.97142857,20494,2763.084844,1
155,59.42857143,18189,2781.131093,1
155,60.88571429,16560,2765.56012,1
155,62.34285714,14315,2786.273416,1
155,63.8,18282,2746.119181,1
155,62.86666667,27460,2753.05858,1
155,61.93333333,19639,2719.17479,1
155,61,24728,2767.446401,1
155,60.06666667,20887,2760.642651,1
155,59.13333333,19655,2765.211069,1
155,58.2,13849,2805.566978,1
155,58.63333333,14292,2772.450115,1
155,59.06666667,21703,2795.060729,1
155,59.5,21582,2828.567191,1
155,59.93333333,23691,2838.589503,1
155,60.36666667,14495,2836.84439,1
155,60.8,18134,2832.978193,1
155,59.98333333,25085,2778.778853,1
155,59.16666667,15867,2734.516594,1
155,58.35,26676,2764.971241,1
155,57.53333333,21076,3003.657797,1
155,56.71666667,22223,2703.657035,1
155,55.9,23053,2663.364033,1
155,55.9,16976,2936.920809,1
155,55.9,15703,2834.713932,1
155,55.9,19330,2660.089481,1
155,58.6,23666,2613.970973,1
155,58.6,16532,2675.424593,1
155,58.88571429,16362,2661.235603,1
155,59.17142857,19047,2738.019203,1
155,59.45714286,20015,2693.68717,1
155,59.74285714,15395,2741.518067,1
155,60.02857143,15875,2754.705011,1
155,60.31428571,17796,2722.30872,1
155,60.6,22600,2727.67061,1
155,59.8,16778,2731.007017,1
155,59,22367,2690.614104,1
155,58.2,22964,2673.898346,1
155,57.4,27837,2696.984621,1
155,56.6,24104,2664.491535,1
155,55.8,16887,2700.245761,1
155,56.46666667,24058,2698.132189,1
155,57.13333333,18494,2682.259231,1
155,57.8,30878,2701.797093,1
155,58.46666667,20632,2714.204467,1
155,59.13333333,24380,2687.259795,1
155,59.8,19457,2668.088832,1
155,57.9,15593,2667.699246,1
155,56,23115,2641.715978,1
155,54.1,17412,2650.779647,1
155,52.2,18573,2660.34815,1
155,50.3,19804,2713.654472,1
155,48.4,15191,2698.970369,1
155,48.4,21356,2674.274461,1
155,48.4,18524,2668.403189,1
155,48.4,22293,2671.743871,1
127.5,42.9,18438,2794.403805,1
127.5,42.9,16600,2792.479769,1
127.5,44.74285714,22048,2766.770173,1
127.5,46.58571429,15597,2725.616771,1
127.5,48.42857143,18387,2719.781649,1
127.5,50.27142857,18886,2705.550616,1
127.5,52.11428571,21214,2680.464286,1
127.5,53.95714286,25631,2625.824903,1
127.5,55.8,20939,2667.575389,1
127.5,57.03333333,24681,2644.017808,1
127.5,58.26666667,16252,2644.207464,1
127.5,59.5,17670,2631.618707,1
127.5,60.73333333,21598,2595.729563,1
127.5,61.96666667,21095,2580.698855,1
127.5,63.2,21901,2537.491782,1
127.5,62.6,19189,2561.937771,1
127.5,62,21377,2598.979833,1
127.5,61.4,19055,2605.349515,1
127.5,60.8,20171,2598.537308,1
127.5,60.2,26907,2605.838142,1
127.5,59.6,21462,2596.561846,1
127.5,58.18333333,23037,2631.30831,1
127.5,56.76666667,20817,2641.292514,1
127.5,55.35,14842,2653.58954,1
127.5,53.93333333,19322,2640.505525,1
127.5,52.51666667,12143,2639.36135,1
127.5,51.1,19094,2627.17869,1
127.5,51.1,21201,2614.976073,1
127.5,51.1,27571,2612.237556,1
127.5,51.1,20757,2599.491944,1
188.8418439,57.7,18771,2583.160738,1
192.7272914,57.7,21574,2547.413498,1
190.4498126,57.6,19535,2532.918958,1
191.897715,57.5,18700,2546.639605,1
186.7610117,57.4,23210,2546.63318,1
190.8080553,57.3,16467,2571.779974,1
189.8309132,57.2,16865,2624.625977,1
192.2560066,57.1,17180,2626.959077,1
183.5097675,57,13662,2540.643772,1
182.4325522,56.85,16685,2636.706034,1
189.0062481,56.7,21276,2597.151937,1
190.8222849,56.55,25886,2668.306287,1
187.8430464,56.4,16492,2716.647213,1
191.8152354,56.25,17575,2657.272673,1
189.5295333,56.1,16320,2557.96044,1
190.0001424,56.31666667,19406,2545.695603,1
187.5288765,56.53333333,16925,2541.90703,1
188.3907455,56.75,23369,2636.095333,1
187.1879496,56.96666667,13020,2571.250422,1
189.8008679,57.18333333,14052,2824.610783,1
186.5079202,57.4,16507,2590.87554,1
189.2115089,58.03333333,17555,2622.277847,1
189.9415654,58.66666667,16519,2594.134978,1
186.6609875,59.3,19636,2547.543208,1
187.5564421,59.93333333,18957,2598.763919,1
190.6078133,60.56666667,14061,2876.016247,1
188.4024105,61.2,18113,2664.400751,1
189.0701322,61.2,19630,2512.139641,1
191.6799079,61.2,25873,2569.873319,1
191.6784232,61.2,20204,2649.686918,1
159.1085148,58.3,19530,2632.757877,1
158.0458083,58.3,14654,2707.764039,1
158.8860252,59.08571429,21100,2687.165687,1
158.6761047,59.87142857,13333,2688.425614,1
157.6274337,60.65714286,17394,2650.885387,1
158.272391,61.44285714,18976,2616.883406,1
155.6446314,62.22857143,15492,2615.569138,1
156.2435218,63.01428571,15703,2600.708649,1
155.1807091,63.8,19010,2560.414652,1
150.113276,63.15,26330,2532.24848,1
156.206174,62.5,18306,2551.317909,1
154.309454,61.85,22748,2653.347066,1
155.892629,61.2,18759,2543.626374,1
155.1601864,60.55,18833,2546.812873,1
157.0732623,59.9,18158,2631.785588,1
156.0126614,60.55,18372,2740.461008,1
157.3354864,61.2,22424,2624.687381,1
152.5181218,61.85,19501,2613.636958,1
157.9495658,62.5,22448,2716.428521,1
156.6722567,63.15,14383,2661.8714,1
157.6151009,63.8,20288,2677.410683,1
154.1404916,62.98333333,28584,2650.483954,1
152.142485,62.16666667,19315,2628.053525,1
153.7035357,61.35,27152,2627.286567,1
158.172592,60.53333333,22154,2829.301392,1
158.7111388,59.71666667,21871,2594.678734,1
157.735595,58.9,23284,2619.252934,1
161.0549666,58.9,22453,2678.04417,1
156.793935,58.9,16587,2598.607151,1
157.6267823,58.9,20304,2504.979268,1
110.2605015,60.5,26072,2594.638896,1
108.4755314,60.5,14154,2585.750643,1
108.3383526,60.67142857,14576,2651.410307,1
109.918233,60.84285714,19405,2683.33847,1
108.275449,61.01428571,25345,2617.119347,1
109.50485,61.18571429,20815,2647.387631,1
108.0379411,61.35714286,17450,2583.759951,1
109.2716127,61.52857143,20536,2583.414402,1
102.2793166,61.7,22085,2593.970819,1
103.6408564,61.25,19763,2589.661314,1
106.5162116,60.8,20372,2566.407208,1
106.7253533,60.35,24056,2617.43487,1
108.5400066,59.9,24734,2693.414304,1
107.7874543,59.45,21725,2676.925908,1
108.9552605,59,12989,2720.113826,1
108.7377281,59.45,25416,2751.125885,1
109.7240383,59.9,18497,2734.486038,1
99.62849948,60.35,28834,2750.581025,1
101.0291795,60.8,20596,2720.844884,1
106.2733959,61.25,23931,2712.032878,1
109.6514198,61.7,18372,2722.05819,1
107.4663159,61.43333333,19636,2659.229663,1
108.7707263,61.16666667,23372,2674.693122,1
98.86113939,60.9,21841,2700.9827,1
106.0089842,60.63333333,18374,2654.979199,1
110.2083149,60.36666667,15837,2761.310081,1
109.686063,60.1,17986,2740.896853,1
109.2047657,60.1,22594,2703.678543,1
113.0611579,60.1,22157,2719.114506,1
109.2748999,60.1,22180,2628.240977,1
81.78876594,57.5,20525,2639.300565,1
74.95066146,57.5,19245,2701.357313,1
76.19803831,57.68571429,19306,2615.149064,1
81.74680597,57.87142857,18530,2613.051509,1
81.78774022,58.05714286,20128,2581.452565,1
78.37889532,58.24285714,19140,2694.601209,1
82.16152186,58.42857143,23125,2693.607178,1
79.71577898,58.61428571,29435,2682.955606,1
79.01978248,58.8,19170,2767.876298,1
76.11357828,59.73333333,21506,2739.645917,1
76.17576638,60.66666667,14531,2761.863833,1
74.51385747,61.6,18007,2748.114835,1
79.55545166,62.53333333,22865,2707.623998,1
86.46923233,63.46666667,22795,2784.938619,1
75.81879507,64.4,20342,2761.57865,1
80.49721205,63.86666667,23156,2812.611573,1
75.30373521,63.33333333,20613,2768.296053,1
81.98718612,62.8,20577,2789.010957,1
77.5864754,62.26666667,21492,2711.680963,1
76.936268,61.73333333,28149,2758.130174,1
80.88551339,61.2,20939,2736.684247,1
79.59333523,60.78333333,23551,2697.4043,1
78.71787924,60.36666667,21161,2678.761316,1
79.65646175,59.95,15967,2640.743684,1
80.04456924,59.53333333,21052,2645.073744,1
72.59748817,59.11666667,16854,2616.781714,1
83.52871879,58.7,23639,2632.752814,1
81.9385975,58.7,29995,2612.618349,1
79.00627154,58.7,30232,2641.983562,1
78.81175155,58.7,20229,2675.321713,1
125,66,19072,2699.907897,1
125,66,20725,2768.581282,1
125,64.74285714,18515,2768.022889,1
125,63.48571429,19552,2743.288099,1
125,62.22857143,25892,2641.932541,1
125,60.97142857,17584,2658.69174,1
125,59.71428571,22801,2711.012614,1
125,58.45714286,21093,2708.295917,1
125,57.2,18555,2695.050307,1
125,58.26666667,20007,2675.526043,1
125,59.33333333,23997,2648.233961,1
125,60.4,27853,2707.868638,1
125,61.46666667,18537,2675.193281,1
125,62.53333333,20719,3070.362427,1
125,63.6,17420,2739.221811,1
125,63.41666667,19769,2756.367,1
125,63.23333333,21055,2754.210071,1
125,63.05,20033,2867.802974,1
125,62.86666667,15149,2771.734571,1
125,62.68333333,20662,2791.094913,1
125,62.5,18632,2910.965957,1
125,62.95,17265,2793.996861,1
125,63.4,18128,2754.142286,1
125,63.85,24031,2705.651296,1
125,64.3,28316,2735.742828,1
125,64.75,19551,2708.907401,1
125,65.2,21036,2751.719842,1
125,65.2,23673,2527.271073,1
125,65.2,28402,2581.253924,1
125,65.2,20131,2555.942318,1
120,56.6,19333,2614.585402,1
120,56.6,18809,2634.55775,1
120,58.2,23806,2613.289367,1
120,59.8,18539,2629.815199,1
120,61.4,22390,2578.845115,1
120,63,23920,2606.718562,1
120,64.6,17661,2563.177642,1
120,66.2,15557,2628.734587,1
120,67.8,20507,2647.131976,1
120,67.28333333,29082,2605.297027,1
120,66.76666667,21520,2628.729465,1
120,66.25,30948,2728.002212,1
120,65.73333333,22305,2677.713885,1
120,65.21666667,22506,2867.498371,1
120,64.7,19741,2873.346765,1
120,65.4,18295,3034.758929,1
120,66.1,22312,2833.238941,1
120,66.8,23913,2808.326531,1
120,67.5,22092,2834.45342,1
120,68.2,21385,2834.272314,1
120,68.9,22796,2815.532612,1
120,68.26666667,21811,2770.913615,1
120,67.63333333,20677,2752.459642,1
120,67,28065,2671.063046,1
120,66.36666667,27047,2772.373549,1
120,65.73333333,23964,2662.233562,1
120,65.1,22121,2694.53545,1
120,65.1,23032,2861.289414,1
120,65.1,16997,2760.768532,1
120,65.1,20649,2725.879834,1
107.5,64.7,27147,2744.181772,1
107.5,64.7,15250,2702.122068,1
107.5,65.02857143,14556,2721.051658,1
107.5,65.35714286,16065,2679.513867,1
107.5,65.68571429,24802,2672.16109,1
107.5,66.01428571,23956,2722.874778,1
107.5,66.34285714,24752,2739.688899,1
107.5,66.67142857,23170,2809.190901,1
107.5,67,26480,2795.505487,1
107.5,66.61666667,20095,2838.498348,1
107.5,66.23333333,22454,2777.196814,1
107.5,65.85,24825,2857.401937,1
107.5,65.46666667,25895,2815.2108,1
107.5,65.08333333,30717,2763.605205,1
107.5,64.7,15760,2784.467193,1
107.5,65.08333333,26439,2804.420491,1
107.5,65.46666667,21368,2802.236232,1
107.5,65.85,31300,2868.964433,1
107.5,66.23333333,22495,2866.558501,1
107.5,66.61666667,25892,2848.705842,1
107.5,67,20774,2864.788353,1
107.5,66.91666667,15927,2792.105715,1
107.5,66.83333333,22931,2843.234813,1
107.5,66.75,24820,2870.734304,1
107.5,66.66666667,16743,2905.926594,1
107.5,66.58333333,13373,2915.884476,1
107.5,66.5,19506,2910.996793,1
107.5,66.5,25097,2886.645431,1
107.5,66.5,24262,2902.108228,1
107.5,66.5,23925,2906.143301,1
80,64.4,19760,2755.386473,1
80,64.4,19523,2824.254136,1
80,64.21428571,23874,2784.351305,1
80,64.02857143,18957,2704.815352,1
80,63.84285714,18872,2722.289069,1
80,63.65714286,18609,2919.847266,1
80,63.47142857,31261,2911.264948,1
80,63.28571429,26914,2832.891203,1
80,63.1,21752,2852.267683,1
80,63.58333333,31588,2912.521009,1
80,64.06666667,18225,2862.457322,1
80,64.55,25266,2883.72077,1
80,65.03333333,24474,2837.215544,1
80,65.51666667,24308,2947.886697,1
80,66,23286,2872.679751,1
80,65.65,21090,2886.08501,1
80,65.3,19876,2775.44334,1
80,64.95,19360,2956.966257,1
80,64.6,19766,2760.109224,1
80,64.25,27105,2715.505308,1
80,63.9,19867,2747.57756,1
80,64.06666667,23077,2693.327914,1
80,64.23333333,23111,2830.54936,1
80,64.4,16177,2712.627332,1
80,64.56666667,20997,2728.979387,1
80,64.73333333,13164,2810.784654,1
80,64.9,25392,2842.992193,1
80,64.9,30969,2852.890977,1
80,64.9,28589,2828.639712,1
80,64.9,20508,2921.467562,1
160,49.7,20522,2680.937363,1
160,49.7,23564,2667.267295,1
160,49.37142857,24166,2684.166904,1
160,49.04285714,20741,2769.755277,1
160,48.71428571,29944,2789.038071,1
160,48.38571429,19757,2796.183081,1
160,48.05714286,24767,2713.046897,1
160,47.72857143,21947,2891.26388,1
160,47.4,20203,2771.167465,1
160,48.13333333,19871,2707.55035,1
160,48.86666667,30333,2664.348639,1
160,49.6,26595,2771.290739,1
160,50.33333333,21159,2747.817067,1
160,51.06666667,24370,2796.425792,1
160,51.8,19858,2740.747986,1
160,51.58333333,24185,2738.30393,1
160,51.36666667,18656,2735.796157,1
160,51.15,23124,2819.971498,1
160,50.93333333,15433,2754.874239,1
160,50.71666667,22234,2802.091455,1
160,50.5,24401,2735.49195,1
160,50.63333333,21270,2807.176274,1
160,50.76666667,18689,2759.893514,1
160,50.9,27896,2709.303817,1
160,51.03333333,25043,2727.784052,1
160,51.16666667,19238,2743.850056,1
160,51.3,22166,2816.087537,1
160,51.3,30505,2757.06906,1
160,51.3,31660,2892.826788,1
160,51.3,19835,2754.815667,1
152.5,51.1,19390,2710.917668,2
152.5,51.1,19888,2739.874843,2
152.5,51.75714286,24287,2788.615284,2
152.5,52.41428571,20403,2770.46893,2
152.5,53.07142857,20390,2747.463976,2
152.5,53.72857143,24614,2752.359864,2
152.5,54.38571429,18108,2726.264249,2
152.5,55.04285714,16485,2883.540048,2
152.5,55.7,21893,2784.996326,2
152.5,55,23491,2730.843946,2
152.5,54.3,24393,2747.771252,2
152.5,53.6,30405,2805.16425,2
152.5,52.9,23964,2775.265002,2
152.5,52.2,23586,2815.293688,2
152.5,51.5,16466,2776.009954,2
152.5,51.95,18190,2989.601,2
152.5,52.4,21495,2763.816785,2
152.5,52.85,22322,2752.524363,2
152.5,53.3,27555,2723.184103,2
152.5,53.75,17945,2815.18276,2
152.5,54.2,21738,2704.447861,2
152.5,53.73333333,21834,2744.706882,2
152.5,53.26666667,18332,2752.360125,2
152.5,52.8,26254,2717.954469,2
152.5,52.33333333,27621,2746.868436,2
152.5,51.86666667,24417,2743.26893,2
152.5,51.4,23511,2754.299734,2
152.5,51.4,21036,2878.336359,2
152.5,51.4,16282,2798.924507,2
152.5,51.4,29089,2737.452584,2
85,50.8,27663,2685.109251,3
85,50.8,22040,2663.688632,3
85,51.01428571,18947,2871.942819,3
85,51.22857143,19712,2719.759556,3
85,51.44285714,27866,3008.200271,3
85,51.65714286,25339,2744.62665,3
85,51.87142857,24277,2742.884385,3
85,52.08571429,23253,2822.008807,3
85,52.3,32389,2955.286348,3
85,52.1,19355,2846.623143,3
85,51.9,26890,2833.972988,3
85,51.7,28064,2854.100228,3
85,51.5,25254,2949.909534,3
85,51.3,28673,2980.219118,3
85,51.1,20789,2842.461278,3
85,51.16666667,25015,2886.31738,3
85,51.23333333,26689,2847.94247,3
85,51.3,29616,3196.341036,3
85,51.36666667,25635,2913.618861,3
85,51.43333333,27137,2846.371793,3
85,51.5,26223,2775.279067,3
85,51.63333333,19379,2688.889276,3
85,51.76666667,24279,2708.136165,3
85,51.9,26044,2620.763079,3
85,52.03333333,21441,2638.256865,3
85,52.16666667,23917,2689.557779,3
85,52.3,18901,2652.028323,3
85,52.3,28070,2643.639567,3
85,52.3,23763,2699.956009,3
85,52.3,25638,2862.910011,3
60,47.5,20831,2615.290262,4
60,47.5,22592,2738.682517,4
60,47.55714286,28653,2806.880884,4
60,47.61428571,25439,2727.712866,4
60,47.67142857,21409,2713.673374,4
60,47.72857143,27032,2749.193571,4
60,47.78571429,30388,2971.942308,4
60,47.84285714,29644,2929.124285,4
60,47.9,25573,2680.34355,4
60,48.33333333,28451,2818.100274,4
60,48.76666667,24698,2558.342113,4
60,49.2,28151,2569.602784,4
60,49.63333333,31353,2761.380507,4
60,50.06666667,24016,2927.11024,4
60,50.5,30664,2886.224617,4
60,50.56666667,23721,2754.148269,4
60,50.63333333,29742,2897.100201,4
60,50.7,21258,2773.587612,4
60,50.76666667,26089,3035.829959,4
60,50.83333333,29487,3127.304862,4
60,50.9,21191,3070.788151,4
60,51.08333333,21420,2994.666379,4
60,51.26666667,28237,3029.336848,4
60,51.45,20945,2886.441196,4
60,51.63333333,25214,2840.700056,4
60,51.81666667,17834,2763.65656,4
60,52,27835,2947.148167,4
60,52,27997,2873.40678,4
60,52,26957,2918.873997,4
60,52,18449,2801.806374,4
160,61.2,22609,2740.436629,1
160,61.2,28304,2730.256504,1
160,60.75714286,26158,2755.254399,1
160,60.31428571,20342,2879.522214,1
160,59.87142857,29751,2899.366547,1
160,59.42857143,21192,3059.92642,1
160,58.98571429,23655,2726.894286,1
160,58.54285714,19926,2882.488257,1
160,58.1,18863,2734.279777,1
160,58.93333333,19511,2678.249336,1
160,59.76666667,30205,2708.520567,1
160,60.6,31444,2773.697577,1
160,61.43333333,21512,2738.848611,1
160,62.26666667,20691,2821.871008,1
160,63.1,19663,2658.399748,1
160,62.08333333,21861,2731.045389,1
160,61.06666667,18000,2713.154578,1
160,60.05,21414,2755.380226,1
160,59.03333333,15466,2728.479224,1
160,58.01666667,18398,2896.426893,1
160,57,21707,2722.07541,1
160,58.36666667,18708,2752.37469,1
160,59.73333333,23146,2725.088582,1
160,61.1,27127,2822.66671,1
160,62.46666667,24982,2849.44261,1
160,63.83333333,21245,2823.71234,1
160,65.2,24619,2806.411147,1
160,65.2,29181,2761.259249,1
160,65.2,37073,3063.240977,1
160,65.2,24724,2792.353684,1
155,56.7,18326,2846.513589,2
155,56.7,21321,2870.560863,2
155,58.22857143,26293,2871.725546,2
155,59.75714286,19461,2886.23098,2
155,61.28571429,21290,2824.406636,2
155,62.81428571,20520,2859.080742,2
155,64.34285714,18739,2860.514912,2
155,65.87142857,17327,2960.768055,2
155,67.4,20573,2829.355039,2
155,66.73333333,32295,2778.247321,2
155,66.06666667,21420,2756.198337,2
155,65.4,30747,2860.997836,2
155,64.73333333,23119,2811.172608,2
155,64.06666667,21104,2781.052429,2
155,63.4,19574,2790.376068,2
155,63.31666667,17052,3017.681004,2
155,63.23333333,21515,2813.961564,2
155,63.15,22927,2798.090403,2
155,63.06666667,27920,2744.831228,2
155,62.98333333,18316,2915.0243,2
155,62.9,25357,2899.529274,2
155,63.16666667,23128,2927.093543,2
155,63.43333333,21017,2901.228669,2
